Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
0190296617164,Daft Punk,Discovery,ADA (6),"2xLP, Album, RE, Gat",,2023,29277010,Uncategorized,2025-03-23 10:40:35,,,
19658868271,Gesaffelstein,Gamma,Columbia,"LP, Album",,2024,31262830,Uncategorized,2025-03-03 03:10:29,,,
"88883716861, 88883 71686 1",Daft Punk,Random Access Memories,"Columbia, Columbia, Sony Music","2xLP, Album, 180",,2013,4570366,Uncategorized,2025-02-28 03:12:19,,,
19658773731,Daft Punk,Random Access Memories (10th Anniversary Edition),"Columbia, Legacy, Sony Music","3xLP, Album, RE, 180",,2023,27031743,Uncategorized,2025-03-03 03:09:26,,,
WIGLP317,Arctic Monkeys,AM,Domino,"LP, Album, Gat",,2013,4883505,Uncategorized,2025-02-28 03:12:12,,,
88985377711,Travis Scott (2),Birds In The Trap Sing Mcknight,"Epic, Grand Hustle, Sony Music","2xLP, Album",,2016,9402676,Uncategorized,2025-03-11 02:58:07,,,
473067-7,Tame Impala,Currents,Fiction Records,"2xLP, Album, Gat",,2015,7252111,Uncategorized,2025-03-03 03:17:01,,,
075678610998,Twenty One Pilots,Clancy,Fueled By Ramen,"LP, Album",,2024,30763932,Uncategorized,2025-03-03 03:14:13,,,
none,Justice (3),Hyperdrama,"Genesis (8), Virgin Music","2xLP, Album",,2024,30502900,Uncategorized,2025-03-03 03:11:01,,,
GI-243 LP,C418,Minecraft Volume Alpha,Ghostly International,"LP, Album, RE, RP, Cle",,2022,25196581,Uncategorized,2025-03-03 03:12:42,,,
GI-360LP,C418,Minecraft Volume Beta,Ghostly International,"2xLP, Album, Red",,2020,15764805,Uncategorized,2025-03-18 10:28:05,,,
MUG002,Milky Chance,Trip Tape II,Muggelig Records,"LP, Ltd, Mixtape, Gre",,2023,27050547,Uncategorized,2025-03-18 10:29:08,,,
0190295851194,Gorillaz,Humanz,Parlophone,"2xLP, Album, Gat",,2017,10175557,Uncategorized,2025-03-18 10:28:26,,,
07243 873838 1 4,Gorillaz,Demon Days,Parlophone,"2xLP, Album, Gat",,2005,474703,Uncategorized,2025-03-03 03:15:37,,,
5054197199738,Gorillaz,Cracker Island,Parlophone,"LP, Album, Red",,2023,26208848,Uncategorized,2025-03-18 10:28:47,,,
RSE0400-1,MF Doom,MM..Food,Rhymesayers Entertainment,"2xLP, Album, RE, Pur",,2024,32249100,Uncategorized,2025-03-18 10:29:29,,,
00602508929908,The Weeknd,After Hours,"XO, Republic Records","2xLP, Album, Ltd, Cle",,2020,15975042,Uncategorized,2025-02-28 03:13:07,,,
0602557227512,The Weeknd,Starboy,"XO, Republic Records","2xLP, Album, Red",,2017,9778270,Uncategorized,2025-02-28 03:11:39,,,
602465994759,The Weeknd,Hurry Up Tomorrow,"XO, Republic Records","LP, Album",,2025,33007125,Uncategorized,2025-02-28 03:14:16,,,
B0035096-01,The Weeknd,Dawn FM,"XO, Republic Records, Selecta Sound","2xLP, Album",,2022,23000420,Uncategorized,2025-02-28 03:13:37,,,
